"利用日","新規サイン","利用者","利用店名・商品名","支払方法","利用金額","支払手数料","支払総額","支払回数/何回目","当月請求額","翌月繰越残高"
"16.02.29","*","本人","アクロスヘアデザイン蒲田東口","'S/1",7500,0,7500,"'1/1",7500,0
"16.02.29","*","本人","ﾌｱﾐﾘ-ﾏ-ﾄｶﾏﾀｴｷﾏｴ","'S/1",598,0,598,"'1/1",598,0
"16.02.29","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",4802,0,4802,"'1/1",4802,0
"16.02.29","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5352,0,5352,"'1/1",5352,0
"16.02.29","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5352,0,5352,"'1/1",5352,0
"16.02.29","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5352,0,5352,"'1/1",5352,0
"16.02.29","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5352,0,5352,"'1/1",5352,0
"16.02.29","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",4822,0,4822,"'1/1",4822,0
"16.02.26","*","本人","BILL ITUNES COM","'S/1",600,0,600,"'1/1",600,0
"16.02.25","*","本人","ﾔﾌ-ｳｫﾚｯﾄｹｯｻｲ ﾛﾊｺ(","'S/1",6048,0,6048,"'1/1",6048,0
"16.02.24","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",2040,0,2040,"'1/1",2040,0
"16.02.24","*","本人","ｲﾇｼﾞﾙｼﾎﾝﾎﾟ","'S/1",32832,0,32832,"'1/1",32832,0
"16.02.24","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",4802,0,4802,"'1/1",4802,0
"16.02.24","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5116,0,5116,"'1/1",5116,0
"16.02.24","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",9996,0,9996,"'1/1",9996,0
