利用日,利用店名・商品名,利用者,支払,利用金額,手数料,支払総額,当月支払,翌月以降
,※1,※2,区分,,,,金額,繰越残高
,,,※3,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｱｰｸﾗﾝﾄﾞ,本人*,1回,"2,960",0,"2,960","2,960",0
2月1日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｸﾘｯﾊﾟｰﾌﾟ,本人*,1回,"17,639",0,"17,639","17,639",0
2月3日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｶﾒﾗﾉｷﾀﾑﾗ,本人*,1回,"10,626",0,"10,626","10,626",0
2月3日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾍﾞﾋﾞｰﾖｳﾋ,本人*,1回,"2,302",0,"2,302","2,302",0
2月4日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾎｰﾑｾﾝﾀｰﾔ,本人*,1回,"12,480",0,"12,480","12,480",0
2月6日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｴｶﾞｵｺｳﾎﾞ,本人*,1回,"5,700",0,"5,700","5,700",0
2月6日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾀｶﾊﾞﾅﾔﾌｰ,本人*,1回,"4,501",0,"4,501","4,501",0
2月7日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｱｶﾁｬﾝﾎﾝﾎ,本人*,1回,"5,622",0,"5,622","5,622",0
2月7日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾍﾞﾋﾞｰﾖｳﾋ,本人*,1回,"22,204",0,"22,204","22,204",0
2月8日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｸﾗｼﾔ,本人*,1回,"10,718",0,"10,718","10,718",0
2月9日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｹﾝｺｰｺﾑ,本人*,1回,"11,213",0,"11,213","11,213",0
2月13日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾄｲｻﾞﾗｽﾍﾞ,本人*,1回,"25,700",0,"25,700","25,700",0
2月14日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｴｶﾞｵｺｳﾎﾞ,本人*,1回,"6,000",0,"6,000","6,000",0
2月14日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｴｶﾞｵｺｳﾎﾞ,本人*,1回,"6,000",0,"6,000","6,000",0
2月14日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾄｲｻﾞﾗｽﾍﾞ,本人*,1回,"5,524",0,"5,524","5,524",0
2月15日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｸｽﾘﾉﾚﾃﾞｲ,本人*,1回,"5,266",0,"5,266","5,266",0
2月15日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｾｷﾁｭｰﾔﾌｰ,本人*,1回,"6,560",0,"6,560","6,560",0
2月15日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾄｲｻﾞﾗｽﾍﾞ,本人*,1回,"5,524",0,"5,524","5,524",0
2月15日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｼﾞｬﾝﾃｨﾅ,本人*,1回,"6,800",0,"6,800","6,800",0
2月15日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾍﾞﾋﾞｰﾖｳﾋ,本人*,1回,"2,900",0,"2,900","2,900",0
2月15日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾍﾞﾋﾞｰﾖｳﾋ,本人*,1回,"12,357",0,"12,357","12,357",0
2月15日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｼｭｯｻﾝｼﾞｭ,本人*,1回,"16,326",0,"16,326","16,326",0
2月15日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｼﾞｬﾝﾃｨﾅ,本人*,1回,"6,800",0,"6,800","6,800",0
2月15日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｾｷﾁｭｰﾔﾌｰ,本人*,1回,"5,250",0,"5,250","5,250",0
2月16日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｸﾗｼﾔ,本人*,1回,"11,390",0,"11,390","11,390",0
2月17日,,,,,,,,
2016,ﾔﾌ-ｳｫﾚｯﾄｹｯｻｲ ﾛﾊｺ(ｱｽｸ,本人*,1回,"6,048",0,"6,048","6,048",0
2月17日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｼﾞｮｼﾞｮﾄﾞ,本人*,1回,190,0,190,190,0
2月19日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾏﾂﾓﾄｷﾖｼﾔ,本人*,1回,"25,488",0,"25,488","25,488",0
2月20日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾍﾞﾋﾞｰﾀｳﾝ,本人*,1回,"5,568",0,"5,568","5,568",0
2月20日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｹﾝｺｰｺﾑ,本人*,1回,"5,686",0,"5,686","5,686",0
2月22日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｲﾝﾅｰｼｮｯﾌ,本人*,1回,"14,550",0,"14,550","14,550",0
2月26日,,,,,,,,
回数指定払い小計,,,,,,,"285,892",0
