利用日,利用店名・商品名,利用者,支払,利用金額,手数料,支払総額,当月支払,翌月以降
,※1,※2,区分,,,,金額,繰越残高
,,,※3,,,,,
2016,ヤフージャパン,本人*,1回,498,0,498,498,0
4月30日,,,,,,,,
2016,ﾔﾌ-ｳｫﾚｯﾄｹｯｻｲ ﾛﾊｺ(ｱｽｸ,本人*,1回,104,0,104,104,0
5月4日,,,,,,,,
2016,ﾔﾌ-ｳｫﾚｯﾄｹｯｻｲ ﾛﾊｺ(ｱｽｸ,本人*,1回,"6,048",0,"6,048","6,048",0
5月10日,,,,,,,,
2016,ﾔﾌ-ｳｫﾚｯﾄｹｯｻｲ ﾛﾊｺ(ｱｽｸ,本人*,1回,"5,928",0,"5,928","5,928",0
5月11日,,,,,,,,
2016,ﾔﾌ-ｳｫﾚｯﾄｹｯｻｲ ﾛﾊｺ(ｱｽｸ,本人*,1回,"2,856",0,"2,856","2,856",0
5月13日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾄｲｻﾞﾗｽﾍﾞ,本人*,1回,"4,184",0,"4,184","4,184",0
5月20日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾏﾂﾓﾄｷﾖｼﾔ,本人*,1回,"7,308",0,"7,308","7,308",0
5月20日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾏﾀﾆﾃｨｼﾞｭ,本人*,1回,"6,674",0,"6,674","6,674",0
5月31日,,,,,,,,
回数指定払い小計,,,,,,,"33,600",0
