カード名称,みずほマイレージクラブカード《セゾン》Ｓｕｉｃａ
お支払日,2016/07/04
今回ご請求額,0000299340

利用日,ご利用店名及び商品名,本人・家族区分,支払区分名称,締前入金区分,利用金額,備考
2016/04/27,オ－ケ－　サガンテン,,１回,,1507,
2016/04/27,オ－ケ－　サガンテン,,１回,,5388,
2016/04/30,ロ－ソン（ＬＳカマタホンチヨウ）,,１回,,540,
2016/05/02,オ－ケ－　サガンテン,,１回,,4611,
2016/05/04,セブン－イレブン（大田区南蒲田２丁目店）,,１回,,811,
2016/05/08,オ－ケ－　サガンテン,,１回,,4309,
2016/05/08,オ－ケ－　サガンテン,,１回,,2261,
2016/05/10,トウホウダイガクイリヨウセンタ－　オ,,１回,,5840,
2016/05/11,サンドラツグ,,１回,,36774,
2016/05/13,トウホウダイガクイリヨウセンタ－　オ,,１回,,141140,
2016/05/19,西松屋チェ－ン,,１回,,1078,
2016/05/19,西松屋チェ－ン,,１回,,9191,
2016/05/20,オ－ケ－　サガンテン,,１回,,4938,
