"日付","摘要","摘要内容","支払い金額","預かり金額","差引残高","メモ","未資金化区分","入払区分"
"2016/1/4","口座振替３","ホイクリヨウ","16,400","","1,189,810","","","振替支払い"
"2016/1/8","水道","トウキヨウトスイドウ","4,598","","1,185,212","","","振替支払い"
"2016/1/17","カ－ド","","60,000","","1,125,212","","","支払い"
"2016/1/25","給料","","","436,207","1,561,419","","","振替入金"
"2016/1/25","振込１","アクセンチユア（カ","","120,464","1,681,883","","","振替入金"
"2016/1/25","カードＣ１","セブンギンコウＡＴＭ","30,000","","1,651,883","","","支払い"
"2016/1/25","手数料","","108","","1,651,775","","","振替支払い"
"2016/1/27","口座振替４","ラクテンカ－ドサ－ビ","324","","1,651,451","","","振替支払い"
"2016/1/27","口座振替４","エポスカ－ド","107,183","","1,544,268","","","振替支払い"
"2016/1/31","カードＣ１","","20,000","","1,524,268","","","支払い"
"2016/1/31","手数料","","216","","1,524,052","","","振替支払い"
"2016/2/1","振込２","オオタク　コソダテセタイリン","","3,000","1,527,052","","","振替入金"
"2016/2/1","口座振替３","ホイクリヨウ","16,400","","1,510,652","","","振替支払い"
"2016/2/8","振込２","オオタクジドウテアテ","","40,000","1,550,652","","","振替入金"
"2016/2/8","口座振替３","トジユウタクコウシヤ","102,000","","1,448,652","","","振替支払い"
"2016/2/9","カードＣ１","セブンギンコウＡＴＭ","20,000","","1,428,652","","","支払い"
"2016/2/9","手数料","","108","","1,428,544","","","振替支払い"
"2016/2/10","口座振替３","アメリカンエキスプレス","56,300","","1,372,244","","","振替支払い"
"2016/2/17","カードＣ１","セブンギンコウＡＴＭ","20,000","","1,352,244","","","支払い"
"2016/2/17","手数料","","108","","1,352,136","","","振替支払い"
"2016/2/22","利息","","","76","1,352,212","","","振替入金"
"2016/2/22","カ－ド","","500,000","","852,212","","","支払い"
"2016/2/25","給料","","","463,362","1,315,574","","","振替入金"
"2016/2/25","振込１","アクセンチユア（カ","","189,381","1,504,955","","","振替入金"
"2016/2/29","口座振替３","ホイクリヨウ","16,400","","1,488,555","","","振替支払い"
"2016/2/29","口座振替４","ラクテンカ－ドサ－ビ","78,416","","1,410,139","","","振替支払い"
"2016/2/29","口座振替４","エポスカ－ド","138,426","","1,271,713","","","振替支払い"
"2016/3/2","カードＣ１","セブンギンコウＡＴＭ","20,000","","1,251,713","","","支払い"
"2016/3/2","手数料","","108","","1,251,605","","","振替支払い"
"2016/3/4","水道","トウキヨウトスイドウ","5,112","","1,246,493","","","振替支払い"
"2016/3/7","口座振替３","トジユウタクコウシヤ","102,000","","1,144,493","","","振替支払い"
"2016/3/10","口座振替３","アメリカンエキスプレス","155,335","","989,158","","","振替支払い"
"2016/3/12","カードＣ１","","10,000","","979,158","","","支払い"
"2016/3/12","手数料","","216","","978,942","","","振替支払い"
"2016/3/16","振込ＩＢ１","ガク　ライ","500,000","","478,942","","","振替支払い"
"2016/3/17","カードＣ１","","10,000","","468,942","","","支払い"
"2016/3/17","手数料","","108","","468,834","","","振替支払い"
"2016/3/17","振込ＩＢ１","ガク　ライ","400,000","","68,834","","","振替支払い"
"2016/3/25","給料","","","463,362","532,196","","","振替入金"
"2016/3/25","振込１","アクセンチユア（カ","","82,822","615,018","","","振替入金"
"2016/3/25","カードＣ１","","50,000","","565,018","","","支払い"
"2016/3/25","手数料","","108","","564,910","","","振替支払い"
"2016/3/28","口座振替４","エポスカ－ド","14,970","","549,940","","","振替支払い"
"2016/3/28","口座振替４","ラクテンカ－ドサ－ビ","210,854","","339,086","","","振替支払い"
"2016/3/29","振込ＩＢ１","ジ－エムオ－クリツクシヨウケ","139,000","","200,086","","","振替支払い"
"2016/3/31","口座振替３","ホイクリヨウ","16,400","","183,686","","","振替支払い"
"2016/4/7","口座振替３","トジユウタクコウシヤ","102,500","","81,186","","","振替支払い"
"2016/4/7","カードＣ１","","30,000","","51,186","","","支払い"
"2016/4/7","手数料","","108","","51,078","","","振替支払い"
"2016/4/11","口座振替３","アメリカンエキスプレス","47,520","","3,558","","","振替支払い"
"2016/4/14","カ－ド","","3,000","","558","","","支払い"
"2016/4/15","振込２","ジ－エムオ－クリツクシヨウケ","","200,000","200,558","","","振替入金"
"2016/4/15","カードＣ１","","50,000","","150,558","","","支払い"
"2016/4/15","手数料","","108","","150,450","","","振替支払い"
"2016/4/25","給料","","","376,840","527,290","","","振替入金"
"2016/4/26","振込１","ヨ　コウエイ","","73,205","600,495","","","振替入金"
"2016/4/26","振込１","ヨ　コウエイ","","210,854","811,349","","","振替入金"
"2016/4/26","振込１","ヨ　コウエイ","","78,416","889,765","","","振替入金"
"2016/4/26","振込ＩＢ１","ヨ　コウエイ","500,000","","389,765","","","振替支払い"
"2016/4/27","口座振替４","ＪＣ　ジヤツクス","6,670","","383,095","","","振替支払い"
"2016/4/27","口座振替４","エポスカ－ド","41,323","","341,772","","","振替支払い"
"2016/4/27","口座振替４","ラクテンカ－ドサ－ビ","73,205","","268,567","","","振替支払い"
"2016/4/29","カードＣ１","","50,000","","218,567","","","支払い"
"2016/4/29","手数料","","216","","218,351","","","振替支払い"
"2016/5/2","口座振替３","ホイクリヨウ","16,300","","202,051","","","振替支払い"
"2016/5/9","口座振替３","トジユウタクコウシヤ","102,500","","99,551","","","振替支払い"
"2016/5/10","水道","トウキヨウトスイドウ","5,626","","93,925","","","振替支払い"
"2016/5/20","カ－ド","","20,000","","73,925","","","支払い"
"2016/5/25","振込１","アクセンチユア（カ","","68,080","142,005","","","振替入金"
"2016/5/27","口座振替４","ラクテンカ－ドサ－ビ","29,569","","112,436","","","振替支払い"
"2016/5/27","口座振替４","エポスカ－ド","41,607","","70,829","","","振替支払い"
"2016/5/30","カードＣ１","","20,000","","50,829","","","支払い"
"2016/5/30","手数料","","108","","50,721","","","振替支払い"
"2016/5/31","口座振替３","ホイクリヨウ","16,300","","34,421","","","振替支払い"
"2016/6/2","振込１","セントラルタンシエフエツクス（","","8,552","42,973","","","振替入金"
"2016/6/2","カードＣ１","セブンギンコウＡＴＭ","20,000","","22,973","","","支払い"
"2016/6/2","手数料","","108","","22,865","","","振替支払い"
"2016/6/6","振込ＩＢ１","ヨ　コウエイ","","270,000","292,865","","","振替入金"
"2016/6/7","振込２","オオタクジドウテアテ","","40,000","332,865","","","振替入金"
"2016/6/7","口座振替３","トジユウタクコウシヤ","102,500","","230,365","","","振替支払い"
"2016/6/12","カードＣ１","セブンギンコウＡＴＭ","50,000","","180,365","","","支払い"
"2016/6/12","手数料","","216","","180,149","","","振替支払い"
"2016/6/27","口座振替４","ラクテンカ－ドサ－ビ","5,702","","174,447","","","振替支払い"
"2016/6/27","口座振替４","エポスカ－ド","35,375","","139,072","","","振替支払い"
"2016/6/27","振込ＩＢ１","ガク　ライ","","300,000","439,072","","","振替入金"
"2016/6/28","カ－ド","","10,000","","429,072","","","支払い"
"2016/6/29","振込８","アクセンチユアカブシキカイシ","241,566","","187,506","","","振替支払い"
"2016/6/29","為替手数料","フリコミ　テスウリヨウ","432","","187,074","","","振替支払い"
"2016/6/30","口座振替３","ホイクリヨウ","16,300","","170,774","","","振替支払い"
"2016/7/4","水道","トウキヨウトスイドウ","6,140","","164,634","","","振替支払い"
"2016/7/4","カードＣ１","セブンギンコウＡＴＭ","30,000","","134,634","","","支払い"
"2016/7/4","手数料","","108","","134,526","","","振替支払い"
"2016/7/7","口座振替３","トジユウタクコウシヤ","102,500","","32,026","","","振替支払い"
"2016/7/15","振込１","アクセンチユアケンコウホケンク","","455,450","487,476","","","振替入金"
"2016/7/16","カードＣ１","","50,000","","437,476","","","支払い"
"2016/7/16","手数料","","216","","437,260","","","振替支払い"
"2016/7/26","振込ＩＢ１","ガク　ライ","","300,000","737,260","","","振替入金"
"2016/7/26","振込ＩＢ２","アクセンチユア（カ）","68,080","","669,180","","","振替支払い"
"2016/7/26","為替手数料","フリコミ　テスウリヨウ","324","","668,856","","","振替支払い"
